core.marvi_hk_data, MarviHkData, djm.3.terminal_log, str, 1
core.marvi_hk_data, MarviHkData, djm.3.checksum, int, 1
core.marvi_hk_data, MarviHkData, djm.4.djm_id, int, 1
core.marvi_hk_data, MarviHkData, djm.4.systime, str, 1
core.marvi_hk_data, MarviHkData, djm.4.log_size, int, 1
core.marvi_hk_data, MarviHkData, djm.4.hk_djm_id, int, 1
core.marvi_hk_data, MarviHkData, djm.4.string_v, float, 8
core.marvi_hk_data, MarviHkData, djm.4.pulse_status, int, 4
core.marvi_hk_data, MarviHkData, djm.4.sap_panel_v, float, 1
core.marvi_hk_data, MarviHkData, djm.4.sap_panel_i, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_sas_power, float, 1
core.marvi_hk_data, MarviHkData, djm.4.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.4.ads1115_temp, float, 10
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_current.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.4.i2c_voltage.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.4.over_current_info.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.4.sas1.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.4.sas1.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.4.sas1.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.4.sas1.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.4.sas1.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.4.sas1.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.4.sas1.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.4.sas1.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.4.sas1.Sas.timestamp, str, 1
core.marvi_hk_data, MarviHkData, djm.4.sas2.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.4.sas2.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.4.sas2.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.4.sas2.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.4.sas2.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.4.sas2.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.4.sas2.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.4.sas2.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.4.sas2.Sas.timestamp, str, 1
core.marvi_hk_data, MarviHkData, djm.4.time_stamp, str, 1
core.marvi_hk_data, MarviHkData, djm.4.djm_version, str, 1
core.marvi_hk_data, MarviHkData, djm.4.build_time, str, 1
core.marvi_hk_data, MarviHkData, djm.4.build_date, str, 1
core.marvi_hk_data, MarviHkData, djm.4.terminal_log, str, 1
core.marvi_hk_data, MarviHkData, djm.4.checksum, int, 1
core.marvi_hk_data, MarviHkData, djm.5.djm_id, int, 1
core.marvi_hk_data, MarviHkData, djm.5.systime, str, 1
core.marvi_hk_data, MarviHkData, djm.5.log_size, int, 1
core.marvi_hk_data, MarviHkData, djm.5.hk_djm_id, int, 1
core.marvi_hk_data, MarviHkData, djm.5.string_v, float, 8
core.marvi_hk_data, MarviHkData, djm.5.pulse_status, int, 4
core.marvi_hk_data, MarviHkData, djm.5.sap_panel_v, float, 1
core.marvi_hk_data, MarviHkData, djm.5.sap_panel_i, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_sas_power, float, 1
core.marvi_hk_data, MarviHkData, djm.5.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.5.ads1115_temp, float, 10
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_current.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.5.i2c_voltage.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.5.over_current_info.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.5.sas1.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.5.sas1.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.5.sas1.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.5.sas1.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.5.sas1.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.5.sas1.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.5.sas1.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.5.sas1.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.5.sas1.Sas.timestamp, str, 1
core.marvi_hk_data, MarviHkData, djm.5.sas2.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.5.sas2.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.5.sas2.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.5.sas2.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.5.sas2.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.5.sas2.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.5.sas2.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.5.sas2.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.5.sas2.Sas.timestamp, str, 1
core.marvi_hk_data, MarviHkData, djm.5.time_stamp, str, 1
core.marvi_hk_data, MarviHkData, djm.5.djm_version, str, 1
core.marvi_hk_data, MarviHkData, djm.5.build_time, str, 1
core.marvi_hk_data, MarviHkData, djm.5.build_date, str, 1
core.marvi_hk_data, MarviHkData, djm.5.terminal_log, str, 1
core.marvi_hk_data, MarviHkData, djm.5.checksum, int, 1
core.marvi_hk_data, MarviHkData, obc.systime, str, 1
core.marvi_hk_data, MarviHkData, obc.sap_i, int, 1
core.marvi_hk_data, MarviHkData, obc.sap_v, int, 1
core.marvi_hk_data, MarviHkData, obc.chrg_i, int, 1
core.marvi_hk_data, MarviHkData, obc.chrg_v, int, 1
core.marvi_hk_data, MarviHkData, obc.disc_i, int, 1
core.marvi_hk_data, MarviHkData, obc.disc_v, int, 1
core.marvi_hk_data, MarviHkData, obc.battery_power, int, 1
core.marvi_hk_data, MarviHkData, obc.cell_balance_thresh, int, 1
core.marvi_hk_data, MarviHkData, obc.pwm_period, float, 1
core.marvi_hk_data, MarviHkData, obc.pwm_duty, float, 1
core.marvi_hk_data, MarviHkData, obc.cell_balance_port_a, str, 5
core.marvi_hk_data, MarviHkData, obc.cell_balance_port_b, str, 5
core.marvi_hk_data, MarviHkData, obc.cell_balance_time.1, int, 5
core.marvi_hk_data, MarviHkData, obc.cell_balance_time.2, int, 5
core.marvi_hk_data, MarviHkData, obc.battchg_auto_mode, str, 1
core.marvi_hk_data, MarviHkData, obc.battchg_on, str, 1
core.marvi_hk_data, MarviHkData, obc.cell_balance_mode, str, 1
core.marvi_hk_data, MarviHkData, obc.in_port_status, int, 1
core.marvi_hk_data, MarviHkData, obc.obc_fw_update_status, str, 1
core.marvi_hk_data, MarviHkData, obc.pcu_djm_fw_update_status, str, 1
core.marvi_hk_data, MarviHkData, obc.upload_file_name, str, 1
core.marvi_hk_data, MarviHkData, obc.upload_file_error_count, int, 1
core.marvi_hk_data, MarviHkData, obc.upload_file_lost_total_size, int, 1
core.marvi_hk_data, MarviHkData, obc.upload_file_lost_offset, int, 1
core.marvi_hk_data, MarviHkData, obc.upload_file_lost_size, int, 1
core.marvi_hk_data, MarviHkData, obc.upload_file_state, str, 1
core.marvi_hk_data, MarviHkData, obc.build_date, str, 1
core.marvi_hk_data, MarviHkData, obc.revision, str, 1
core.marvi_hk_data, MarviHkData, obc.keep_alive_count, int, 1
core.marvi_hk_data, MarviHkData, obc.cpu_mode, str, 1
core.marvi_hk_data, MarviHkData, obc.rx_modem_id, str, 1
core.marvi_hk_data, MarviHkData, obc.run_app, str, 1
core.marvi_hk_data, MarviHkData, obc.reg_wrcsr, str, 1
core.marvi_hk_data, MarviHkData, obc.boot_count, int, 1
core.marvi_hk_data, MarviHkData, djm.1.djm_id, int, 1
core.marvi_hk_data, MarviHkData, djm.1.systime, str, 1
core.marvi_hk_data, MarviHkData, djm.1.log_size, int, 1
core.marvi_hk_data, MarviHkData, djm.1.hk_djm_id, int, 1
core.marvi_hk_data, MarviHkData, djm.1.string_v, float, 8
core.marvi_hk_data, MarviHkData, djm.1.pulse_status, int, 4
core.marvi_hk_data, MarviHkData, djm.1.sap_panel_v, float, 1
core.marvi_hk_data, MarviHkData, djm.1.sap_panel_i, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_sas_power, float, 1
core.marvi_hk_data, MarviHkData, djm.1.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.1.ads1115_temp, float, 10
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_current.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.i2c_voltage.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.unit_type, str, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.m_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.ce_iru, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.mic, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.tx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.rx_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.1.over_current_info.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.1.sas1.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.1.sas1.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.1.sas1.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.1.sas1.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.1.sas1.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.1.sas1.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.1.sas1.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.1.sas1.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.1.sas1.Sas.timestamp, str, 1
core.marvi_hk_data, MarviHkData, djm.1.sas2.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.1.sas2.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.1.sas2.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.1.sas2.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.1.sas2.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.1.sas2.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.1.sas2.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.1.sas2.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.1.sas2.Sas.timestamp, str, 1
